midpoint,sim_94_n_sig
25,1758
26,1807
27,1821
28,3
29,17
30,70
31,108
32,127
33,569
34,895
35,1097
36,1203
37,1298
38,1415
39,1510
40,1602
41,1645
42,1700
43,1725
44,1738
45,1771
46,1781
47,1801
48,1813
49,1801
50,1798
51,1792
52,1779
53,1776
54,1756
55,1732
56,1720
57,1697
58,1672
59,1622
60,1594
61,1554
62,1500
63,1479
64,1400
65,1290
66,1076
67,889
68,796
69,553
70,280
71,82
72,49
73,0
74,0
