midpoint,sim_46_n_sig
25,1700
26,1774
27,1829
28,1863
29,1897
30,1908
31,1
32,37
33,354
34,654
35,1004
36,1169
37,1300
38,1441
39,1516
40,1563
41,1593
42,1620
43,1664
44,1696
45,1709
46,1724
47,1731
48,1743
49,1757
50,1769
51,1763
52,1754
53,1755
54,1748
55,1733
56,1707
57,1690
58,1659
59,1630
60,1571
61,1490
62,1393
63,1281
64,1191
65,1083
66,912
67,770
68,528
69,343
70,251
71,198
72,142
73,2
74,0
