midpoint,sim_20_n_sig
25,1816
26,1823
27,1872
28,1897
29,1906
30,13
31,153
32,534
33,895
34,1065
35,1259
36,1336
37,1449
38,1518
39,1574
40,1603
41,1640
42,1657
43,1681
44,1712
45,1729
46,1742
47,1743
48,1750
49,1759
50,1769
51,1771
52,1756
53,1770
54,1760
55,1740
56,1708
57,1691
58,1665
59,1624
60,1576
61,1545
62,1472
63,1373
64,1297
65,1258
66,1147
67,1053
68,938
69,667
70,406
71,16
72,0
73,0
74,0
