midpoint,sim_47_n_sig
25,1769
26,1838
27,2
28,19
29,30
30,155
31,214
32,693
33,906
34,1062
35,1186
36,1349
37,1415
38,1507
39,1553
40,1610
41,1652
42,1677
43,1719
44,1746
45,1752
46,1770
47,1782
48,1791
49,1803
50,1807
51,1815
52,1804
53,1793
54,1787
55,1771
56,1740
57,1711
58,1686
59,1648
60,1594
61,1522
62,1429
63,1337
64,1209
65,1063
66,977
67,826
68,246
69,96
70,0
71,0
72,0
73,0
74,0
