midpoint,sim_71_n_sig
25,10
26,36
27,68
28,167
29,213
30,294
31,365
32,597
33,603
34,816
35,1065
36,1202
37,1334
38,1460
39,1522
40,1596
41,1637
42,1662
43,1691
44,1716
45,1736
46,1753
47,1760
48,1764
49,1780
50,1774
51,1770
52,1778
53,1762
54,1751
55,1735
56,1733
57,1690
58,1657
59,1615
60,1594
61,1545
62,1470
63,1437
64,1336
65,1283
66,1167
67,983
68,747
69,429
70,52
71,0
72,0
73,0
74,0
