midpoint,sim_43_n_sig
25,1802
26,1819
27,1860
28,1868
29,1892
30,0
31,0
32,293
33,806
34,1041
35,1218
36,1329
37,1446
38,1509
39,1581
40,1630
41,1666
42,1669
43,1697
44,1711
45,1748
46,1747
47,1738
48,1758
49,1762
50,1769
51,1776
52,1775
53,1773
54,1750
55,1748
56,1730
57,1712
58,1691
59,1661
60,1595
61,1520
62,1428
63,1307
64,1199
65,939
66,810
67,463
68,83
69,11
70,7
71,0
72,0
73,0
74,0
