midpoint,sim_6_n_sig
25,1739
26,1817
27,1848
28,34
29,462
30,577
31,791
32,934
33,1062
34,1150
35,1252
36,1375
37,1430
38,1492
39,1534
40,1612
41,1625
42,1666
43,1705
44,1728
45,1733
46,1749
47,1775
48,1772
49,1785
50,1769
51,1780
52,1775
53,1769
54,1767
55,1733
56,1711
57,1669
58,1643
59,1589
60,1495
61,1400
62,1246
63,1063
64,768
65,520
66,351
67,285
68,0
69,0
70,0
71,0
72,0
73,0
74,0
