midpoint,sim_88_n_sig
25,1680
26,1782
27,1838
28,1878
29,0
30,0
31,103
32,497
33,670
34,816
35,981
36,1190
37,1357
38,1481
39,1533
40,1597
41,1610
42,1655
43,1679
44,1715
45,1728
46,1751
47,1762
48,1764
49,1775
50,1774
51,1777
52,1781
53,1767
54,1761
55,1745
56,1722
57,1711
58,1672
59,1649
60,1609
61,1544
62,1477
63,1398
64,1268
65,1099
66,882
67,722
68,473
69,57
70,0
71,0
72,0
73,0
74,0
