midpoint,sim_70_n_sig
25,1769
26,1821
27,4
28,6
29,16
30,23
31,360
32,694
33,873
34,1035
35,1136
36,1308
37,1408
38,1491
39,1597
40,1650
41,1678
42,1702
43,1706
44,1732
45,1752
46,1770
47,1786
48,1781
49,1784
50,1786
51,1790
52,1789
53,1776
54,1762
55,1756
56,1732
57,1718
58,1684
59,1649
60,1594
61,1528
62,1490
63,1439
64,1336
65,1225
66,1043
67,798
68,605
69,453
70,215
71,23
72,0
73,0
74,0
