midpoint,sim_77_n_sig
25,1746
26,1798
27,0
28,5
29,7
30,160
31,464
32,638
33,966
34,1062
35,1179
36,1271
37,1383
38,1501
39,1558
40,1603
41,1633
42,1650
43,1688
44,1721
45,1729
46,1756
47,1760
48,1751
49,1761
50,1762
51,1762
52,1756
53,1746
54,1732
55,1723
56,1712
57,1689
58,1663
59,1627
60,1575
61,1520
62,1457
63,1381
64,1236
65,1019
66,567
67,302
68,53
69,25
70,15
71,10
72,0
73,0
74,0
