permutation_i,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,7738,7680,7546,7285,7060,6857,6786,6869,6949,7011,6849,6428,5627,4730,4451,4464,4973,5505,5961,6115,6101,6027,5578,5160,5040
1,6761,7121,7286,7291,7274,7310,7329,7099,6442,5557,4820,4503,4806,5309,5798,6086,6317,6354,6265,5839,5542,5631,5851,5979,5936
2,7532,7294,6923,6503,5955,5499,5517,5632,5616,5263,4754,4272,4034,4633,5354,5971,6417,6595,6257,5481,4856,4585,4870,5549,5952
3,6197,6453,6742,6813,6847,6871,6857,6716,6452,6084,5625,5182,4886,4881,5261,5708,5776,5589,5463,5543,5686,5885,6185,6425,6473
4,7225,7067,6968,6934,6927,6909,6952,6991,7018,6943,6776,6337,5664,5244,5160,5251,5237,5229,5076,5142,5442,5876,6242,6423,6482
5,7863,7846,7792,7629,7277,6790,6311,6023,5895,5875,5721,5438,4995,4883,4912,5232,5510,5620,5562,5258,4775,4512,4768,5233,5601
6,7104,7008,6846,6422,5877,5417,5454,5545,5421,5159,4880,5187,5497,5904,5969,5806,5716,5545,5228,4541,3884,3667,4459,5403,5864
7,6697,6624,6539,6294,5999,5564,5200,4786,4290,4208,4644,5131,5336,5441,5309,5115,4836,4183,3391,3233,3885,4437,4787,4835,4802
8,4558,4575,5674,6719,7240,7462,7465,7395,7198,6759,6286,5568,4723,4321,4511,5007,5425,5584,5661,5660,5474,5082,4859,5297,6126
9,7699,7565,7468,7306,6963,6290,5583,5083,4877,4971,5312,5713,5964,6038,5857,5481,5186,5080,4720,4464,4476,4744,4957,5229,5615
10,6808,6760,6787,6794,6724,6463,6170,5955,6062,6384,6692,6850,6806,6479,5600,4408,3568,3472,4561,5530,6213,6387,6029,5638,5412
11,6421,6555,6867,6970,6902,6704,6496,6131,5842,5411,4971,4872,5218,5487,5666,5792,5841,5720,5535,5294,5115,5141,5259,5451,5617
12,7509,7461,7409,7231,6850,6333,5692,5126,4983,5303,5987,6417,6408,6236,5940,5625,5256,4644,4481,4900,5495,5954,5921,5569,5327
13,7433,7206,6887,6612,6311,6049,5918,5611,5636,5799,6072,6341,6489,6300,5801,5167,4739,4466,4604,4991,5327,5667,5725,5693,5630
14,7119,7358,7541,7562,7510,7350,7040,6375,5419,4270,3714,4459,5304,5843,5820,5439,4798,4135,3654,3742,4719,6174,6772,6813,6668
15,7084,6934,6890,6821,6533,6189,6092,6209,6524,6832,7066,7313,7362,7262,6865,6085,5158,4663,4786,5411,5713,5959,5848,5288,4550
16,7577,7388,7128,6648,6016,5607,5839,6469,6930,6897,6547,6050,5806,5622,5398,4990,4730,4865,5483,5997,6091,5997,5993,6036,6019
17,6500,6729,6938,7072,7013,6881,6715,6370,5776,5123,4705,4616,4711,4943,5277,5772,6427,6861,6932,6901,6725,6432,6195,5629,4847
18,7201,7104,7016,6938,6822,6707,6456,5719,4999,4573,4705,5223,5599,5877,6187,6254,5969,5397,4628,4412,4493,4821,5131,5415,5587
19,6731,6617,6738,6948,7117,7111,6996,6773,6371,5876,5502,5554,5590,5699,5809,5946,6074,6252,6261,6334,6476,6756,6834,6558,6091
20,6356,6110,6286,6550,6789,6847,6782,6550,6449,6354,6088,5917,5674,5620,5428,5238,5238,5439,5618,5820,5897,5842,5501,5119,4885
21,6891,6441,6244,6256,6381,6542,6504,6529,6522,6612,6514,6300,5944,5681,5662,5786,5846,5674,5518,5415,5285,5260,5132,5248,5808
22,7529,7606,7640,7661,7556,7216,6703,5815,4930,4499,4594,5221,5543,5740,5597,5356,5115,4629,4220,4219,4740,5588,6195,6366,6119
23,6968,6594,5933,5219,4652,4948,5860,6776,7215,7400,7345,7077,6446,5488,4137,3192,3655,4807,5705,6107,6241,6065,5643,5266,5430
24,5879,5486,5649,6189,6609,6774,6812,6777,6634,6389,6179,5850,5475,4955,4431,4111,4211,4851,5511,5923,6307,6472,6424,6035,4953
25,7751,7700,7615,7345,6638,5436,4175,3990,4983,6024,6437,6201,5888,5713,5569,5186,4180,3346,3430,4030,4593,4806,4778,4822,5059
26,7075,6410,5827,5538,5800,6199,6646,6932,6976,6757,6231,5252,4708,4582,5404,6338,6898,7192,7341,7370,7204,6714,5715,4755,4259
27,7668,7550,7377,7096,6867,6677,6526,6475,6471,6512,6602,6550,6296,5715,5117,4731,4471,4340,4882,5653,6330,6738,6816,6713,6398
